id,tags,templates
1,Formal_Holiday_Vacation_Leaves,"
Hello [Prospect name],
I know this is a busy time of year, so I made you this holiday checklist to help us stay focused, on deadline, and committed to getting your solution in place and ready to start working for you in 2018:

[Date]: [Milestone]
[Date]: [Milestone]
[Date]: [Milestone]

Thanks for keeping this a priority -- even when there's turkey, pie, and presents beckoning.
Regards,
[Your name]
"
2,Formal_Holiday_Vacation_Leaves,"
Hello [Prospect name],
I know it's the busy holiday season, but I wanted to say ""hello"" and remind you why we're such a good match. Think of each point as a small gift to yourself this year:

[Insert prospect problem + how you can solve it] (i.e., Data entry is eating away at your time, but Company X can reduce entry time by X%.)
[Insert product, service or feature]: [Insert reason/way it benefits your prospect] (i.e., Multi-user upload function: Kiss the days of waiting for your 10 teammates to finish uploading before you have a chance. This feature offers a solution to one of your biggest pain points.)
[Insert budgetary fit + discount info for buying before end of year] (i.e., Our price + your budget = the perfect fit)

If you're ready to get that demo scheduled, grab some time on my calendar here: [Link to meetings tool]
Happy Holidays,
[Your name]
"
3,Formal_Holiday_Vacation_Leaves,"
Hello [Prospect name],
I know, I know -- there's very little as important as pie for breakfast. But this [Insert upsell] is pretty important too (and has fewer calories). Here's how it can help you finish the year strong and set you up for success in 2018:

[Product/feature name]: [What it does and how it benefits the client]
[Product/feature name]: [What it does and how it benefits the client]
[Product/feature name]: [What it does and how it benefits the client]

If you'd like to learn more, grab some time on my calendar here: [Link to meetings tool]
Happy Holidays,
[Your name]
"
4,Formal_Holiday_Vacation_Leaves,"
Hey [Prospect name],
We've all gotten gifts we wish had never been placed on this earth. But this gift I have for you? It's not one of 'em.
If you buy anytime between now and December 31, I can offer you [insert discount]. As simple as that!
If you're interested in learning more, give me a call or schedule some time on my calendar.
And if you'd rather go with Mona's sweater and get back to me after the first of the year -- that's OK too.
Happy Holidays,
[Your name]
"
5,Formal_Holiday_Vacation_Leaves,"
Hello [Prospect name],
It's that time again -- the season where residual budgets disappear on December 31, and unused funds beg to be used before being absorbed into the 2018 budget or reallocated to your nemesis team.
The good news is I can help! If you're ready to buy, I'd love to talk to you today. Simply reply to this email or book some time on my calendar here: [Link to meetings tool]
Let's put that leftover budget to work making your life easier and your boss impressed.
Happy Holidays,
[Your name]
"
6,Formal_Holiday_Vacation_Leaves,"
Hello [Prospect name],
I wanted to take a moment and thank you for working with me this year. I know you have a lot of choices, and I'm grateful you've chosen to spend time getting to know me and [Company's product/service].
Happy holidays, and please let me know if I can do anything to make your life easier this season.
Regards,
[Your name]
"
7,Formal_Holiday_Vacation_Leaves,"
Hello [Prospect name],
The holidays are upon us and our (work) calendars usually look a little lighter. Before you turn on your out of office auto-responder, I'd love to grab a few minutes of your time for that demo you asked about.
I promise, it will fit neatly between your ugly sweater team lunch and the office white elephant party. If you're interested, feel free to grab time on my calendar here: [Link to meetings tool]
Happy Holidays,
[Your name]
"
8,Formal_Holiday_Vacation_Leaves,"
Hello [Prospect name],
It's officially summer and before I lose you to some well-earned vacation, I'd love to get a call scheduled to learn whether I can make your job easier -- and hopefully help you take more vacation!
You can book time on my calendar here: [Insert calendar link]
Meeting with me is a great way to kill 30 minutes before you flip your OOO on.
Regards,
[Your name]
"
9,Formal_Holiday_Vacation_Leaves,"
Hello [Prospect name],
The cruises are over, the beaches are closed, and there's no better time to refocus your priorities and welcome a fall full of professional growth.
I'd love to take a few moments to explain how [Your company name] can help your team meet goals faster than ever before. Book time on my calendar here: [Insert calendar link]
I hope we can connect,
[Your name]
"
10,Formal_Holiday_Vacation_Leaves,"
Hello [Prospect name],
Half of the country is out of the office this week and half has their eye on grilled food and friends.
Take this opportunity to put a 30-minute meeting on your mostly empty calendar and learn how [Your company name] can help your marketing team bring in three times as many qualified leads.
I promise I'll let you go in plenty of time to get to your first BBQ of the weekend!
Regards,
[Your name]
"
11,Formal_Holiday_Vacation_Leaves,"
Hello [Prospect name],
If you're like me, you're making the most of this quiet week at the office. I'd love to talk to you about how you can start the year with a bigger bang than ever before.
I've got some ideas I'd love to run by you. Grab some time on my calendar here: [Insert calendar link]
Regards,
[Your name]
"
12,Formal_Self_introduction_at_new_job ,"
Hello Elena,
I'm inspired by the work you've done in customer success, not to mention your unique career path.
I saw your recent article on managing surges in support tickets and had to reach out. I've helped companies like yours easily manage accelerated support tickets, which has contributed toward as much as 40% growth in as few as three months -- this case study illustrates how.
If you're interested in learning how to implement some of these strategies in your team, I'd love to share more. Here's a link to my calendar [insert link].
Thank you,
Caroline
"
13,Formal_Self_introduction_at_new_job ,"
Hi all,
I'm the new sales director for the enterprise sales team. I wanted to take a moment to say an official hello.
The work you've done and the numbers you've hit have been key factors in our successful year. And I'm thrilled to work with you more closely over the coming months.
In the future weeks, I'll be reaching out to everyone so I can meet you all and say hello. Should you have any questions or concerns during this time, don't hesitate to reach out to me directly -- my door's always open.
Looking forward to working with you all.
Thank you,
Katrina
"
14,Formal_Self_introduction_at_new_job ,"
Hi Kelly,
Please meet Rob Cortez, a manager for our top-performing, mid-market sales team. He previously managed sales operations at a tech startup, [Company Name], and has insight into new sales ops technology. He's interested in our sales operations and would love to learn more.
Kelly is a senior manager on the sales operations team and she's reviewing the tools and software the team's using for the next year.
I've copied Rob on this email so you can connect about sales operations and technology -- and I'll let you two take it from here.
Best,
Valentina
"
15,Formal_Self_introduction_at_new_job ,"
Hello Sara,
I'm pleased to share my resume and cover letter for the position of Sales Development Representative at SpotHub. I'm confident my background as a BDR for Sales-R-Us has equipped me to succeed in this position, and I'm excited to submit my application.
If I can provide you with any further materials to illustrate my fit for this role, please don't hesitate to reach out.
I appreciate your time.
Regards,Meg Whitton
"
16,Formal_Self_introduction_at_new_job ,"
Hello Amber,
I noticed you recently unveiled a shiny, new rebrand for BlueHouse Designs. It looks fantastic, congratulations!
My name is Amy, and I'm interested in learning more about what drives executive teams to determine it's time to rebrand. Would you have time for a 15-minute phone call to walk me through your decision to rebrand?
Regards,
Amy Polish[Company name][Company tagline][Website link]
"
17,Formal_Self_introduction_at_new_job ,"
Hi Tom,
I know you likely get a lot of email from salespeople trying to get through to your boss. I'm no different -- except that I want to earn the right to be passed along to Amber.
My name is Liz, and I help companies like yours decrease hiring time by up to 25%. So, that marketing coordinator your team is currently hiring? I can get a top candidate in that role faster.
Have I earned a few minutes with Amber? If so, feel free to book time on my calendar, here: [Insert calendar link]
If not, I've got more up my sleeve.
Regards,Liz Prater
"
18,Formal_Self_introduction_at_new_job ,"
Hi Jerry,
My name is Meghan, and I’m a sales enablement specialist at XYZ company. I have loved following the insightful pieces you share on LinkedIn. Since we connected last summer, I have implemented several of the strategies you’ve shared through your content and have seen excellent results.
Our company has recently conducted ground-breaking sales enablement research that could be an excellent addition to your content. Do you have time to hop on a brief call next week to discuss?
Regards,
Meghan Brown
"
19,Formal_Self_introduction_at_new_job ,"
Hi Jesse,
I hope your new position with Salt and Co. is treating you well! You are surely missed on our team.
I would like to introduce you to Shannon, the new account manager who backfilled your role. She is interested in pursuing the sales enablement specialist certification program you completed last year.
I’ve copied Shannon on this email so you can connect and discuss the program. You two can take it from here.
Regards,
Rachel Bass
"
20,Business_to_attract_buyer_attention,"
Hi [Prospect],
[Your name] with [your company]. We're a Y company that specializes in [choose either your primary vertical or a vertical you have experience in] to [insert a typical challenge you help clients face].
I'm wondering if you might be open to an initial conversation to gauge a fit?
We've worked with companies like [insert 2-3 clients here relative to the vertical] to [insert a typical client goal].
If you have a minute or two to learn more about us, you can visit us here at [site]. If I don't hear from you, I will reach out to you via phone later in the week.
Thank you,
[Your Name]
"
21,Business_to_attract_buyer_attention,"
Hi [Prospect],
Quickly following up on my email from yesterday. I tried to call you, but was unable to connect. Hoping to set up a call to introduce my company, [company name]. Do you have 30 minutes anytime early next week that would work?
While I have you, I thought you might find some interest in our work with [client]. We helped them [achieve goal] resulting in [ideally you have a % to use here, but any meaningful result will suffice]. You can read the whole story here: [Provide case study link.]
As a reminder, we're a Y company, expert (or specializing) in the X category. We've worked with [name 2-3 clients], and many others to [achieve goal].
Best,
[Your Name]
"
22,Business_to_attract_buyer_attention,"
Hi [Name],
Thanks for taking the time to meet with me the other day. I haven't been able to stop thinking about [personal detail from the conversation].
Anyway, based on our discussion about [pain point or business challenge], we can definitely help you [what they hope to achieve]. I spoke with the team, and they provided me with this extra info:
[Additional resources, social proof, and/or information the client requested]
Would you be able to hop on a call sometime this week to discuss more?
Best,
[Your Name]
"
23,Business_to_attract_buyer_attention,"
Hi [Prospect],
As I've gotten to know [their company] better, I've come to believe that our aligns well with both your company's immediate needs and ultimate goals.
We can offer [types of solutions] that will allow you to solve [specific problems they're facing]. We use different tactics than our competitors, including [differentiators from other companies in your space].
We've consistently been recognized for our exceptional outcomes and service, like [specific accomplishments you can reference]. We were able to help one of our customers [reference a specific, relevant customer story].
Given how well our [product or service] suits your needs, I think we could do some great work together.
[Engaging question to wrap things up]?
Best,
[Your Name]
"
